"n_genotypes","serial","furrr","future","parallel","speedup_furrr","speedup_future","speedup_parallel","best_method","best_time"
3,2.47999999999593,2.38000000000466,1.75,2.00999999999476,1.04,1.42,1.23,"future",1.75
5,6.97000000000116,2.30999999999767,1.22000000000116,1.44999999999709,3.02,5.71,4.81,"future",1.22000000000116
10,7.5,2.48000000001048,2.67999999999302,3.36000000000058,3.02,2.8,2.23,"furrr",2.48000000001048
15,10.8300000000017,4.05999999999767,4.75,8.94999999999709,2.67,2.28,1.21,"furrr",4.05999999999767
