"Method","Q1","Median","Q3","Mean","SD","Min","Max","Speedup_Median"
"Serial",2.96884453296661,3.0862181186676,3.50709080696106,3.5000551700592,0.993350773148341,2.79197001457214,8.9325909614563,1
"furrr",1.31765341758728,1.6761349439621,2.14471846818924,1.75526958942413,0.526785422189469,0.999891042709351,4.14052486419678,1.84127067440782
"future",1.21152228116989,1.62746381759644,2.09587275981903,1.64931660890579,0.437385672031197,0.928429841995239,2.51067900657654,1.89633593404588
"parallel",1.99427151679993,2.14839255809784,2.3591765165329,2.25351585626602,1.01221853586788,1.13451790809631,7.62853789329529,1.43652430140612
